LotArea,OverallQual,YearBuilt,TotalBsmtSF,GrLivArea,BedroomAbvGr,FullBath,GarageCars,Neighborhood,SalePrice
2502,4,1965,809,2398,3,2,2,Downtown,434463.0
8910,2,1958,977,1663,2,3,0,Suburb_B,262103.0
14685,6,2022,2101,3571,4,2,0,Downtown,734230.0
2206,4,1987,1354,1015,3,1,0,Downtown,300251.0
19868,6,2003,783,854,1,3,3,Uptown,324781.0
17934,3,2005,240,1766,5,3,1,Suburb_B,273760.0
19247,6,1994,1778,2476,2,2,3,Suburb_B,429892.0
10755,2,1983,1553,3357,3,2,3,Downtown,597023.0
14383,2,1958,482,3224,4,3,0,Suburb_B,394911.0
16820,9,1957,1012,1499,1,2,2,Suburb_A,356118.0
9574,7,1956,186,2658,1,1,1,Suburb_B,357199.0
8374,3,1985,1881,625,3,2,0,Suburb_B,232789.0
3678,1,1967,2309,3604,4,2,1,Suburb_B,466198.0
3059,8,1952,952,1020,1,3,3,Rural,185654.0
18198,6,1977,1387,1844,2,2,1,Rural,283511.0
11914,7,2019,490,2476,1,2,1,Rural,294197.0
12817,9,1993,430,3143,4,2,2,Suburb_B,456895.0
12921,5,1970,238,1860,5,1,0,Suburb_A,296243.0
11789,1,1977,2351,2884,5,2,1,Suburb_B,420861.0
18312,10,2003,2345,1608,3,1,1,Downtown,542928.0
13252,7,2003,75,818,4,1,3,Suburb_A,237173.0
4693,5,2014,1356,2110,1,1,3,Rural,285762.0
15931,3,1970,1923,2559,1,1,1,Uptown,480147.0
5627,9,1962,1781,3108,5,3,0,Suburb_A,511575.0
18157,1,2006,826,1262,5,1,1,Rural,208744.0
12173,1,1998,2330,3282,2,2,1,Suburb_A,473909.0
12230,1,2003,590,3815,5,1,2,Suburb_A,457781.0
17707,3,1959,2119,1589,2,2,0,Suburb_B,328350.0
13494,6,2002,1902,788,1,1,2,Downtown,361213.0
3306,10,1993,1910,854,2,3,0,Uptown,345223.0
8776,3,1996,574,667,2,1,0,Rural,102482.0
11474,8,2002,891,1215,3,1,0,Suburb_A,287343.0
9526,10,2023,2059,2983,5,3,2,Uptown,640886.0
7530,2,1995,140,3318,2,1,2,Suburb_A,365265.0
5748,9,1962,1789,3468,1,2,2,Downtown,675325.0
15545,3,1986,16,1473,4,1,3,Uptown,302289.0
2663,5,1973,1086,2947,2,1,2,Rural,310006.0
3998,10,1951,252,2225,5,1,3,Suburb_A,390336.0
9994,8,1963,464,956,3,3,3,Downtown,297333.0
19879,2,1959,375,855,1,1,3,Uptown,245017.0
5304,6,1984,1827,1607,3,1,1,Suburb_A,324875.0
15808,5,1974,519,3000,4,2,1,Suburb_A,418843.0
8585,10,1952,1860,2355,2,1,1,Rural,310908.0
19675,9,1966,89,3171,2,1,3,Downtown,605836.0
13649,5,1961,719,3597,5,1,3,Suburb_B,439937.0
3636,2,2003,629,3403,2,1,0,Suburb_A,416048.0
19082,5,1973,1884,883,1,2,3,Uptown,321480.0
6737,4,1978,75,3983,4,2,1,Rural,339700.0
16555,7,1992,925,698,3,3,3,Rural,179836.0
15877,6,1974,2447,796,4,1,3,Suburb_A,300873.0
2854,2,2009,1805,3129,2,3,0,Suburb_A,451213.0
7855,5,2014,969,1477,3,3,3,Suburb_A,323804.0
9392,7,1977,1094,3897,5,1,2,Suburb_B,508035.0
15949,7,1965,2028,2468,4,2,0,Suburb_A,452154.0
7791,5,1996,1404,3262,3,2,3,Downtown,624463.0
6931,9,2007,194,3265,3,1,3,Uptown,544963.0
2202,4,1976,227,1988,3,1,0,Suburb_A,274726.0
13447,3,2002,1459,3015,1,2,3,Suburb_B,425243.0
14688,4,1991,460,1169,4,1,1,Uptown,277493.0
6389,5,2008,617,3237,3,1,2,Rural,309413.0
4327,6,1996,63,3746,4,1,2,Suburb_A,467505.0
10004,3,1983,2212,1665,3,2,1,Uptown,417111.0
9777,2,1986,2074,1021,5,3,3,Rural,203289.0
2197,4,1955,284,3483,5,3,3,Suburb_B,387350.0
3930,5,1956,1683,1804,5,1,2,Downtown,427666.0
13774,4,1974,2328,1144,2,2,3,Suburb_A,337781.0
17087,3,1982,837,670,3,1,2,Downtown,275562.0
11339,8,2004,830,3776,2,2,2,Suburb_B,500011.0
13589,10,2007,1187,1823,4,1,1,Uptown,465805.0
17708,4,1956,223,3772,2,2,2,Uptown,576223.0
19043,2,2006,783,1367,4,2,3,Suburb_B,284091.0
4811,2,1961,949,2954,4,3,3,Suburb_B,357733.0
16243,1,1965,44,2306,4,1,0,Suburb_A,276850.0
8546,4,1992,1810,3024,2,3,3,Rural,326535.0
3986,10,1956,470,1254,3,3,0,Downtown,345457.0
10338,9,2000,2081,3325,2,2,2,Downtown,724159.0
13411,7,2022,829,3046,3,1,3,Uptown,545132.0
4911,10,1981,1909,2396,3,2,1,Uptown,515842.0
3734,7,1957,2268,820,4,2,1,Suburb_A,287884.0
10680,7,2021,1891,781,2,2,1,Suburb_B,273626.0
7759,8,1994,691,906,3,1,2,Downtown,300912.0
4385,1,2008,1390,3169,5,1,2,Suburb_A,416798.0
13111,10,1953,931,2019,3,2,0,Uptown,456661.0
6736,10,2016,840,1613,5,1,1,Uptown,417492.0
3802,8,1978,1938,2651,2,2,0,Downtown,563766.0
10155,4,1978,1573,3510,2,1,0,Uptown,562143.0
10120,4,1977,2286,1447,2,1,3,Uptown,421013.0
8616,4,1993,2488,1403,3,3,3,Rural,260187.0
16257,6,1953,147,3952,1,2,1,Suburb_B,478166.0
16486,7,1958,1032,814,3,3,2,Uptown,325490.0
18646,6,1954,1311,3619,3,3,3,Rural,385150.0
16075,1,2005,387,2043,4,2,2,Suburb_A,301755.0
11208,8,1999,1873,700,4,2,0,Uptown,313547.0
18371,10,1964,915,3610,3,1,0,Suburb_A,536942.0
13835,7,1981,1878,1172,5,2,0,Uptown,407872.0
15168,6,1977,277,1932,4,3,0,Downtown,402505.0
4049,6,1971,1977,1257,3,3,1,Rural,210490.0
7423,5,1966,1859,3586,1,2,0,Rural,413312.0
16589,6,2008,1825,2133,5,3,3,Downtown,538654.0
9158,9,2020,1833,3734,2,1,0,Suburb_B,516617.0
12248,10,2006,617,2256,3,3,2,Rural,337498.0
9400,9,1975,1630,825,3,1,3,Suburb_A,273998.0
11874,10,1974,2182,704,5,3,2,Rural,276584.0
17151,8,1959,579,2597,4,1,2,Suburb_B,402553.0
3154,10,1994,1170,1371,4,1,1,Suburb_A,337407.0
6499,9,1960,489,3926,4,2,1,Suburb_A,531254.0
8295,10,2002,1182,1028,2,1,2,Downtown,397017.0
14183,8,2021,383,1033,5,2,2,Uptown,312731.0
14874,8,2017,162,1830,5,3,0,Downtown,425331.0
7539,1,1977,2488,3699,4,3,3,Uptown,603840.0
11637,10,2014,1876,3329,4,3,0,Downtown,734699.0
17586,5,1998,1212,3235,1,1,1,Uptown,566171.0
4557,4,1996,2462,3740,1,3,1,Rural,399285.0
7592,2,2001,1362,1465,3,3,0,Suburb_A,246834.0
18482,8,2003,1630,3393,3,2,3,Uptown,663457.0
4200,3,2009,1204,3838,5,2,2,Rural,408923.0
16172,4,2006,287,3511,5,3,0,Suburb_B,441045.0
4961,7,1996,1857,3015,2,3,1,Downtown,610249.0
16207,10,1980,186,850,2,1,3,Suburb_B,228698.0
13969,9,1995,1907,3506,1,1,1,Rural,441467.0
4869,2,1975,1161,1455,3,3,3,Suburb_B,242089.0
19340,3,1954,129,1793,1,2,3,Suburb_B,261142.0
15992,4,2001,2241,3761,1,3,3,Rural,449757.0
7699,10,2003,2363,1160,3,1,0,Suburb_A,361489.0
5987,1,1982,1887,2069,2,2,0,Uptown,385461.0
15446,7,1999,143,2941,3,2,0,Downtown,528911.0
3218,2,1987,15,1518,4,1,3,Uptown,278366.0
6735,5,1976,2470,1773,4,3,3,Downtown,480918.0
13296,1,1964,244,3803,4,3,1,Uptown,533873.0
6555,3,2010,926,1032,5,3,2,Suburb_B,203342.0
11146,2,1970,2176,2706,2,1,0,Suburb_A,431294.0
10050,1,1995,906,1568,2,2,3,Suburb_B,242987.0
14757,7,2018,886,1435,5,1,1,Suburb_A,304720.0
19429,5,1955,340,2846,1,3,1,Rural,318123.0
8893,1,1987,2051,2862,4,1,1,Downtown,521123.0
16373,6,2011,1433,1497,4,2,0,Downtown,439973.0
16565,5,2011,305,1071,1,1,0,Rural,164808.0
5436,3,2023,907,846,3,3,2,Uptown,234598.0
10754,7,1995,1371,3029,3,2,1,Rural,345632.0
12677,10,1962,320,1590,2,1,0,Rural,224100.0
7895,9,1952,558,3910,5,1,1,Suburb_A,522760.0
18609,9,1955,1204,1526,2,2,3,Rural,255117.0
17636,9,1957,1409,1791,3,2,1,Downtown,499560.0
9022,2,1993,1641,3207,1,3,2,Suburb_B,413293.0
11151,3,1982,1131,1674,2,2,0,Suburb_A,253170.0
7600,7,1999,2457,2434,4,3,3,Suburb_A,502124.0
9996,5,1960,817,1288,4,1,0,Uptown,304209.0
11007,2,1977,1194,3027,1,3,3,Suburb_B,433296.0
14946,3,2019,11,3121,3,1,1,Suburb_A,378591.0
6642,10,1990,194,3751,4,2,1,Rural,398824.0
13312,6,1965,2229,3344,4,1,2,Suburb_A,545658.0
9679,7,2017,655,2084,5,2,2,Suburb_A,362631.0
10208,9,1997,1921,3558,2,1,3,Suburb_A,542631.0
12716,1,2005,2077,1559,3,1,2,Uptown,367248.0
19453,7,2013,1619,1077,2,1,2,Suburb_A,325389.0
5444,8,2008,1119,3651,3,1,2,Suburb_A,529453.0
12757,3,2011,777,3573,4,3,2,Uptown,572743.0
16434,4,1960,443,1306,5,1,1,Suburb_B,251987.0
3060,10,1967,297,3885,2,3,2,Downtown,685186.0
5420,6,1968,807,3501,4,2,1,Uptown,554407.0
2301,10,2004,1760,1737,3,2,1,Uptown,428859.0
14468,7,1975,844,3664,2,3,0,Suburb_A,516418.0
18990,4,1955,1015,1353,2,2,1,Suburb_A,268100.0
2699,8,1953,1384,3150,4,2,1,Downtown,611827.0
2190,5,1978,1397,2259,2,1,2,Suburb_A,377886.0
12492,1,2008,553,3464,5,1,1,Rural,334134.0
19364,4,1966,2350,1187,5,1,3,Suburb_A,354245.0
4975,3,1992,420,1934,4,3,2,Suburb_A,276738.0
8102,9,2015,1269,2092,3,3,2,Rural,325827.0
19568,8,1983,1260,2447,4,2,2,Downtown,599731.0
3816,1,1957,184,3355,5,1,0,Rural,285678.0
2569,6,1962,467,3715,1,3,2,Uptown,595916.0
7442,9,1957,2410,3917,1,3,1,Rural,448550.0
3895,7,2014,1306,3755,2,1,3,Suburb_B,492897.0
5863,4,1992,1576,806,2,3,2,Uptown,294132.0
14913,1,1988,335,2798,1,1,2,Suburb_A,352195.0
9455,2,2008,2209,3315,5,2,3,Uptown,586631.0
6014,5,1993,1497,3175,2,2,2,Downtown,605997.0
13093,5,1958,2059,764,4,2,0,Downtown,348781.0
5009,8,1986,1447,3564,4,1,1,Rural,387972.0
18538,6,2023,587,2598,5,3,3,Uptown,515618.0
12729,8,1985,1881,3816,2,2,3,Suburb_A,597588.0
3409,2,1977,200,3657,4,2,0,Downtown,526685.0
14249,3,1991,521,2684,2,2,1,Suburb_A,378350.0
2784,6,1992,1887,932,2,3,0,Suburb_B,242122.0
10096,10,1991,1711,1002,4,3,1,Downtown,414956.0
9560,3,2015,787,1013,1,1,0,Rural,173010.0
14533,6,2004,59,644,4,2,2,Suburb_B,199592.0
9343,6,2021,577,2853,5,3,0,Uptown,474305.0
9206,2,1997,320,661,3,1,3,Suburb_A,152571.0
7801,7,1971,1458,3067,4,2,3,Downtown,626998.0
18921,2,1976,2037,1467,2,3,3,Suburb_B,317235.0
7986,6,2016,922,2091,2,3,0,Suburb_B,344115.0
12647,1,1962,1409,3467,4,1,3,Downtown,598958.0
10716,3,1994,1694,618,3,2,3,Uptown,270901.0
14323,2,1959,568,964,4,2,2,Uptown,243023.0
6780,7,1958,1101,3971,3,3,2,Rural,432440.0
4368,4,2003,526,3678,3,2,1,Uptown,556232.0
14039,8,1976,2172,3075,5,1,1,Rural,406478.0
8655,6,1983,870,1740,2,3,1,Suburb_B,302892.0
10173,10,1950,279,1179,2,3,0,Downtown,339414.0
6495,4,1981,1892,1145,3,1,1,Uptown,319486.0
12893,5,2020,1751,2329,2,3,0,Rural,328639.0
15403,9,2016,673,2972,1,2,0,Suburb_B,452564.0
15121,7,1969,1151,654,3,2,1,Uptown,281386.0
12966,10,1984,2361,1377,2,3,1,Suburb_A,393466.0
2853,9,1966,331,3639,1,1,0,Suburb_B,454233.0
18958,7,1967,1173,641,5,1,2,Uptown,312718.0
19532,1,1994,2039,1920,2,2,3,Suburb_B,352306.0
11907,8,2002,1477,830,1,1,3,Downtown,342816.0
6777,4,2017,35,1052,4,3,3,Downtown,257266.0
17338,3,2014,1708,3041,4,3,2,Downtown,634754.0
4491,7,1950,1443,2145,1,2,0,Suburb_A,384520.0
17328,3,2007,2253,1981,3,2,1,Downtown,477974.0
16599,8,1975,1379,2067,3,2,0,Suburb_A,396523.0
5051,6,1969,439,1751,2,1,0,Downtown,365913.0
17979,5,1959,1119,3338,4,3,1,Suburb_B,434331.0
18388,4,2008,163,3039,3,3,2,Uptown,486907.0
2876,8,1990,147,1816,3,3,3,Uptown,371082.0
6142,8,1954,2341,3251,4,2,3,Downtown,684960.0
17202,1,2014,194,1480,5,3,0,Uptown,294217.0
8966,9,1966,662,3749,3,1,2,Downtown,691822.0
9079,5,1971,479,684,1,1,3,Downtown,224711.0
9987,4,1990,122,1653,2,3,2,Rural,203573.0
8799,6,2017,1423,648,3,2,1,Rural,177858.0
6465,6,2018,964,1768,3,3,0,Rural,248213.0
19019,2,1960,1778,668,5,1,0,Suburb_A,228649.0
15417,8,2005,1485,3729,1,1,2,Rural,464353.0
10311,7,2000,2014,3344,2,1,3,Downtown,703475.0
19214,1,1970,709,3126,3,3,2,Suburb_B,377314.0
16098,5,1975,2443,3467,2,1,1,Rural,398175.0
7177,6,1968,911,3967,4,2,3,Rural,394271.0
16262,4,2009,1360,2301,3,3,3,Suburb_B,365250.0
10308,2,2020,2364,3842,3,3,2,Downtown,695455.0
7949,4,1996,1734,2198,4,1,1,Suburb_A,370996.0
3150,1,2020,1823,2794,5,1,3,Rural,301769.0
3931,7,1975,1579,3977,3,2,0,Suburb_B,510240.0
11204,2,1989,680,2469,2,3,1,Downtown,475224.0
3081,2,1954,1333,1615,1,1,3,Uptown,305352.0
18896,9,1970,555,3256,2,2,2,Suburb_A,486781.0
15407,5,1953,609,1045,5,1,3,Suburb_B,246696.0
9805,2,1972,2156,2868,1,3,0,Suburb_B,405472.0
7237,9,1964,371,2001,2,1,1,Suburb_B,298919.0
18943,9,1957,615,3937,2,3,3,Rural,428744.0
14775,1,1990,1914,2742,4,1,0,Uptown,522369.0
18244,3,1968,2253,861,5,3,3,Suburb_A,291711.0
15184,4,1995,846,2448,4,2,3,Downtown,486064.0
5343,7,1977,42,1496,1,3,1,Downtown,336994.0
15500,10,2017,864,1694,4,2,2,Uptown,441624.0
11662,4,1964,1268,2866,5,3,2,Suburb_B,458069.0
18964,2,1986,1378,2156,3,2,0,Suburb_B,326585.0
17125,7,1950,784,691,3,1,0,Suburb_B,239706.0
10130,6,2016,475,726,1,3,0,Suburb_B,212851.0
3679,3,1973,82,679,3,1,1,Suburb_B,123378.0
5506,6,1976,1133,2447,4,2,2,Uptown,466650.0
15284,6,1989,2237,3909,1,3,0,Rural,431438.0
9253,5,2012,799,1582,5,3,0,Suburb_A,292272.0
11435,4,2010,935,1515,1,1,3,Suburb_B,264693.0
13310,10,1985,2298,3133,1,3,3,Rural,430096.0
15296,1,1973,2338,1293,2,3,0,Downtown,360633.0
15245,10,1973,1668,624,2,1,3,Uptown,353072.0
13151,6,1953,325,755,1,3,3,Rural,158294.0
12457,2,2016,1534,3279,3,1,3,Suburb_B,450156.0
4479,3,1983,1985,2412,2,1,1,Suburb_B,369498.0
6452,8,2006,1964,2153,5,1,0,Suburb_B,391145.0
7881,10,1998,836,2566,4,1,0,Rural,329917.0
16069,6,2002,507,2333,2,1,3,Suburb_B,354780.0
4849,3,1972,2119,1680,1,2,1,Rural,252638.0
9390,7,2018,1270,2228,3,2,3,Suburb_B,387942.0
13922,4,2002,640,618,4,1,1,Downtown,249447.0
4489,9,2011,1878,2007,2,2,0,Downtown,511164.0
11823,5,1990,607,1816,3,2,3,Suburb_A,336817.0
11207,3,2006,1958,2884,3,3,0,Suburb_B,434672.0
11540,2,2009,565,2010,3,1,1,Suburb_B,260508.0
18364,2,2003,1367,876,1,2,2,Rural,173799.0
6611,3,2019,2101,3898,5,3,1,Rural,419237.0
7878,2,2006,1753,1344,3,3,2,Suburb_B,274119.0
18347,4,1959,1581,1151,4,1,0,Suburb_A,282763.0
2851,2,1989,1986,3994,2,1,0,Suburb_B,474189.0
8833,10,1956,2240,1776,4,3,3,Rural,323705.0
13938,9,1987,2105,1238,1,1,2,Suburb_B,330234.0
4427,2,2010,128,836,1,1,1,Rural,125962.0
6000,9,1952,1872,1597,4,3,0,Suburb_B,332884.0
7052,6,2000,705,2702,5,3,2,Uptown,492094.0
4738,1,1996,851,2603,1,1,1,Rural,241388.0
7387,4,2017,7,2059,1,2,2,Suburb_A,318075.0
10002,1,1987,2076,3331,4,1,1,Uptown,577954.0
7536,6,1985,1135,2756,1,2,1,Suburb_B,369027.0
15479,4,1990,2178,1807,5,3,1,Rural,280543.0
5913,3,2018,2235,1991,5,2,1,Uptown,457459.0
19450,3,1962,1698,2606,5,3,2,Suburb_A,444772.0
12636,9,2007,1498,1821,2,1,2,Rural,299615.0
7726,6,1999,2259,1994,5,1,3,Uptown,487265.0
5373,9,1979,1644,972,5,3,2,Uptown,384563.0
14161,5,2011,275,3620,2,3,2,Uptown,583180.0
4082,2,1974,1702,2120,3,3,3,Downtown,445926.0
18281,8,1976,1795,2848,1,1,2,Suburb_B,447493.0
17305,5,2000,242,1448,5,1,1,Rural,182657.0
11817,2,2006,170,3156,1,2,0,Rural,288665.0
13261,4,1996,652,1945,4,3,0,Rural,217563.0
2417,9,1988,1932,2922,1,2,3,Uptown,585882.0
10808,4,1965,2235,2858,2,1,2,Suburb_B,429766.0
5267,4,1971,1109,1103,1,2,2,Suburb_A,263533.0
19209,2,2003,1499,3789,1,2,3,Rural,404537.0
7745,6,1970,2099,1302,1,1,0,Suburb_B,290092.0
13338,2,2021,2158,2689,3,1,1,Suburb_B,386313.0
2412,7,1965,1972,914,3,3,2,Downtown,348419.0
9543,3,2008,1066,3435,4,2,3,Rural,369801.0
9587,3,1980,2258,2976,2,1,1,Uptown,536221.0
2728,5,1991,2035,1640,1,1,3,Suburb_B,352537.0
13657,3,2023,857,882,1,2,3,Suburb_B,211578.0
7988,2,1981,1049,3590,1,1,3,Suburb_A,456749.0
4967,10,2008,298,857,1,3,0,Downtown,283435.0
16527,9,1983,923,1174,3,3,0,Suburb_B,308695.0
18048,2,1958,136,1173,4,2,3,Suburb_B,195320.0
19506,2,1960,1043,3259,5,3,2,Uptown,558419.0
19955,8,1959,2487,1642,2,1,1,Uptown,492702.0
7073,9,1966,210,2152,1,1,2,Suburb_A,342180.0
7104,7,2017,1574,3484,4,1,0,Suburb_A,540516.0
4143,3,1997,2482,1022,5,1,1,Suburb_A,270660.0
9357,9,2001,779,2089,4,2,3,Uptown,486926.0
14043,3,1974,1230,1996,3,3,2,Uptown,391468.0
5440,5,1970,2486,1357,5,3,2,Downtown,453908.0
7644,9,2014,1802,3410,4,1,3,Rural,416078.0
12518,3,2012,1065,1704,3,2,2,Rural,223935.0
16552,7,2000,410,2174,4,1,0,Downtown,436192.0
4914,1,1985,426,3071,4,1,3,Rural,280416.0
15584,4,2015,1471,1028,5,2,2,Uptown,332865.0
14144,4,1964,941,2621,3,2,3,Rural,306448.0
16397,7,1988,1907,803,1,1,1,Uptown,349552.0
10787,8,2019,741,2843,2,3,3,Downtown,570174.0
16191,1,1950,1392,3375,5,1,2,Suburb_A,485972.0
2728,5,1972,1243,2932,3,3,0,Downtown,532268.0
19749,7,1988,1600,2592,4,3,3,Rural,371735.0
2698,4,2006,1255,2843,3,2,3,Uptown,496060.0
9186,4,1983,327,906,2,2,2,Rural,146493.0
16512,4,1990,1466,2287,2,1,0,Rural,288116.0
15923,6,2022,2099,613,1,3,0,Suburb_A,261705.0
18779,7,1962,1966,2460,1,3,1,Rural,340825.0
9400,2,2019,375,3817,2,1,1,Suburb_A,430963.0
6171,5,1955,262,2561,5,1,2,Uptown,411713.0
6360,4,2001,266,1680,5,1,0,Uptown,301887.0
4502,3,1952,2406,1322,4,2,0,Suburb_A,309224.0
19101,7,2012,1944,1379,1,1,1,Downtown,444938.0
7486,6,1998,1893,1833,4,1,1,Uptown,426731.0
10335,7,1996,1901,1128,1,3,2,Downtown,412391.0
6491,5,2004,1652,1397,2,1,0,Uptown,349953.0
13130,6,2013,1444,943,5,3,3,Uptown,345184.0
9651,5,2014,45,1902,5,3,1,Suburb_B,295695.0
3167,7,2016,599,808,2,2,2,Rural,164371.0
3062,2,1964,719,1240,4,1,0,Rural,145097.0
13174,5,1981,1912,1911,4,1,0,Downtown,465565.0
6729,6,2017,1292,2899,3,3,1,Rural,355839.0
11348,6,1967,600,3936,1,2,2,Downtown,650990.0
7334,5,1992,380,2918,4,2,3,Uptown,487277.0
10924,10,1984,117,2547,2,1,1,Suburb_B,355522.0
6330,7,2007,2163,1519,4,3,2,Suburb_B,368070.0
8801,10,1982,259,2323,5,1,0,Uptown,442170.0
6846,8,1963,1098,2644,1,1,3,Suburb_A,424347.0
8731,7,1983,1503,1018,3,1,2,Suburb_A,277681.0
17368,5,2010,2352,2349,1,1,3,Rural,344333.0
19337,1,1953,2054,3442,5,3,2,Downtown,664053.0
4539,5,2008,365,3882,5,2,2,Suburb_B,466488.0
